CIT_ID_NO,legal_form_pol,legal_form_pol_english,sector_pol,sector_long,sector,province_pol,province,revenue,revenue_poland,revenue_outside_poland,revenue_outside_poland_other,expenditure,tax_deductible_expenditure_poland,tax_deductible_expenditure_outside_poland,tax_deductible_expenditure_outside_poland_other,tax_deductible_expediture_intellectual_property,tax_deductible_expenditure_on_interest_income,income_art_7_2_total,loss_art_7_2_total,loss_art_7_3_4_a,income,loss,tax_free_income_total,tax_free_income_statistic_purpose_art_17_1_4d_etc,tax_free_income_art_17_1_4,tax_free_income_non_agriculture_art_17_1_4e,tax_free_income_subsidies_art_17_1_21,tax_free_income_art_17_1_23_24,tax_free_income_art_17_1_34,tax_free_income_art_17_1_39,tax_free_income_housing_coops_art_17_1_44,tax_free_income_subsidies_state_local_art_17_1_47,tax_free_income_amounts_government_agencies_art_17_1_48,tax_free_income_agriculture_producer_groups_art_17_1_49,tax_free_income_financial_programs_central_europe_art_17_1_52,tax_free_income_environmental_finances_art_17_1_53,tax_free_income_other_art_17_1,tax_free_income_other,deductions_from_income_total,loss_from_previous_years,deductions_from_income_art_18_1_1,deductions_from_income_art_18_1_7,tax_base_before_deductions,deductions_from_tax_base,income_tax_base_after_deductions,tax_rate,tax,tax_due
58,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,L Działalność związana z obsługą rynku nieruchomości,L Activity connected with servicing the real estate market,Real Estate,14 Mazowieckie,Mazowieckie,8670872.01,8670872.01,0,0,11401069.22,11401069.22,0,0,0,0,0,2730197.21,0,0,2730197.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
59,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,30 Wielkopolskie,Wielkopolskie,8670813.9,8670813.9,0,0,7492573.11,7492573.11,0,0,0,0,1178240.79,0,0,1178240.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254821.07,254821.07,0,0,923419.72,0,923420,19,175449.8,175450
60,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,J Informacja i komunikacja,J Information and communication,ICT,14 Mazowieckie,Mazowieckie,8670599.72,8670599.72,0,0,8726907.46,8726907.46,0,0,0,0,0,56307.74,0,0,56307.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
61,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8670050.83,8670050.83,0,0,8534203.84,8534203.84,0,0,0,0,135846.99,0,0,135846.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135846.99,0,135847,19,25810.93,25811
62,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,12 Małopolskie,Małopolskie,8669951.09,8669951.09,0,0,7955929.99,7955929.99,0,0,0,0,714021.1,0,0,714021.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706791.57,706791.57,0,0,7229.53,0,7230,19,1373.7,1374
63,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,J Informacja i komunikacja,J Information and communication,ICT,14 Mazowieckie,Mazowieckie,8668877.13,8668877.13,0,0,8321973.35,8321973.35,0,0,0,0,346903.78,0,0,346903.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346903.78,0,346904,19,65911.76,65912
64,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,L Działalność związana z obsługą rynku nieruchomości,L Activity connected with servicing the real estate market,Real Estate,24 Śląskie,Śląskie,8668550.23,8668550.23,0,0,6501393.48,6501393.48,0,0,0,0,2167156.75,0,0,2167156.75,0,2128869.73,0,0,0,0,0,0,0,2128869.73,0,0,0,0,0,0,0,0,0,0,0,38287.02,0,38287,19,7274.53,7275
65,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,H Transport i gospodarka magazynowa,H Transport and storage,Transportation and Storage,14 Mazowieckie,Mazowieckie,8668382.56,8668382.56,0,0,8474559.14,8474559.14,0,0,0,0,193823.42,0,0,193823.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193823.42,0,193823,19,36826.37,36826
66,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,30 Wielkopolskie,Wielkopolskie,8668292.76,8668292.76,0,0,8679428.51,8679428.51,0,0,0,0,0,11135.75,0,0,11135.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
67,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,N Działalność w zakresie usług administrowania i działalność wspierająca,N Administrative and support service activities,Admin and Support Services,02 Dolnośląskie,Dolnośląskie,8667340.3,8667340.3,0,0,8613979.5,8613979.5,0,0,0,0,53360.8,0,0,53360.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53360.8,0,53361,19,10138.59,10139
68,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8667325.64,8667325.64,0,0,8632447.03,8632447.03,0,0,0,0,34878.61,0,0,34878.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34878.61,0,34879,19,6627.01,6627
69,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,28 Warmińsko-Mazurskie,Warmińsko-Mazurskie,8666919.91,8666919.91,0,0,8628471.26,8628471.26,0,0,0,0,38448.65,0,0,38448.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38448.65,0,38449,19,7305.31,7305
70,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"M Działalność profesjonalna, naukowa i techniczna","M Professional, scientific and technical activities",Professional/Scientific,14 Mazowieckie,Mazowieckie,8666708.98,8666708.98,0,0,8248675.02,8248675.02,0,0,0,0,418033.96,0,0,418033.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,2500,0,415533.96,0,415534,19,78951.46,78951
71,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,10 Łódzkie,Łódzkie,8665838.3,8665838.3,0,0,8259581.48,8259581.48,0,0,0,0,406256.82,0,0,406256.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406256.82,0,406257,19,77188.83,77189
72,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,02 Dolnośląskie,Dolnośląskie,8665309.43,8665309.43,0,0,8523392.23,8523392.23,0,0,0,0,141917.2,0,0,141917.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21766.62,21766.62,0,0,120150.58,0,120151,19,22828.69,22829
73,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,N Działalność w zakresie usług administrowania i działalność wspierająca,N Administrative and support service activities,Admin and Support Services,30 Wielkopolskie,Wielkopolskie,8665246.96,8665246.96,0,0,8685555.02,8685555.02,0,0,0,0,0,20308.06,0,0,20308.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
74,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,24 Śląskie,Śląskie,8664512.15,8664512.15,0,0,8383401.37,8383401.37,0,0,0,0,281110.78,0,0,281110.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281110.78,0,281111,19,53411.09,53411
75,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8664387.96,8664387.96,0,0,8542008.76,8542008.76,0,0,0,0,122379.2,0,0,122379.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122379.2,0,122379,19,23252.01,23252
76,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,02 Dolnośląskie,Dolnośląskie,8664305.51,8664305.51,0,0,8513739.23,8513739.23,0,0,0,0,150566.28,0,0,150566.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150566.28,0,150566,19,28607.54,28608
77,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,30 Wielkopolskie,Wielkopolskie,8664114.57,8664114.57,0,0,7790378.23,7790378.23,0,0,0,0,873736.34,0,0,873736.34,0,339468.07,339468.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534268.27,0,534268,19,101510.92,101511
78,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,12 Małopolskie,Małopolskie,8663945.51,8663945.51,0,0,8590202.3,8590202.3,0,0,0,0,73743.21,0,0,73743.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73743.21,0,73743,19,14011.17,14011
79,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8663775.29,8663775.29,0,0,8561924,8561924,0,0,0,0,101851.29,0,0,101851.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101851.11,101851.11,0,0,0.18,0,0,19,0,0
80,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,12 Małopolskie,Małopolskie,8663579.18,8663579.18,0,0,8233786.03,8233786.03,0,0,0,0,429793.15,0,0,429793.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61252.28,61252.28,0,0,368540.87,0,368541,19,70022.79,70023
81,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,14 Mazowieckie,Mazowieckie,8663338.05,8663338.05,0,0,8668846.96,8668846.96,0,0,0,0,0,5508.91,0,0,5508.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
82,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,L Działalność związana z obsługą rynku nieruchomości,L Activity connected with servicing the real estate market,Real Estate,14 Mazowieckie,Mazowieckie,8662989.15,8662989.15,0,0,8432556.98,8432556.98,0,0,0,0,230432.17,0,0,230432.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230432.17,230432.17,0,0,0,0,0,19,0,0
83,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"M Działalność profesjonalna, naukowa i techniczna","M Professional, scientific and technical activities",Professional/Scientific,02 Dolnośląskie,Dolnośląskie,8662580.09,8662580.09,0,0,8352313.88,8352313.88,0,0,0,0,310266.21,0,0,310266.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310266.21,0,310266,19,58950.54,58951
84,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,#NAME?,Not determined,Not determined,14 Mazowieckie,Mazowieckie,8661546.39,8661546.39,0,0,8728450.98,8728450.98,0,0,0,0,0,66904.59,0,0,66904.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
85,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8661522.22,8661522.22,0,0,8540205.8,8540205.8,0,0,0,0,121316.42,0,0,121316.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121316.42,0,121316,15,18197.4,18197
86,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,I Działalność związana z zakwaterowaniem i usługami gastronomicznymi,I Activities related to accommodation and catering services,Hotels and Restaurants,14 Mazowieckie,Mazowieckie,8661201.53,8661201.53,0,0,11207321.94,11207321.94,0,0,0,0,0,2546120.41,0,0,2546120.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
87,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,12 Małopolskie,Małopolskie,8660204.59,8660204.59,0,0,403927.74,403927.74,0,0,0,0,8256276.85,0,0,8256276.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8256276.85,8256276.85,0,0,0,0,0,15,0,0
88,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,#NAME?,Not determined,Not determined,12 Małopolskie,Małopolskie,8659913.5,8659913.5,0,0,8541408.44,8541408.44,0,0,0,0,118505.06,0,0,118505.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118505.06,0,118505,19,22515.95,22516
89,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,28 Warmińsko-Mazurskie,Warmińsko-Mazurskie,8658507.36,8658507.36,0,0,7333169.04,7333169.04,0,0,0,0,1325338.32,0,0,1325338.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325338.32,0,1325338,19,251814.22,251814
90,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,14 Mazowieckie,Mazowieckie,8657544.83,8657544.83,0,0,7885106,7885106,0,0,0,0,772438.83,0,0,772438.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772438.83,0,772439,15,115865.85,115866
91,OSP.49 Fundusze,OSP.49 Funds,K Działalność finansowa i ubezpieczeniowa,K Financial and insurance activities,Finance,14 Mazowieckie,Mazowieckie,8657262.15,8657262.15,0,0,0,0,0,0,0,0,8657262.15,0,0,8657262.15,0,8657262.15,0,0,0,0,0,0,0,0,0,0,0,0,0,8657262.15,0,0,0,0,0,0,0,0,19,0,0
92,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,02 Dolnośląskie,Dolnośląskie,8656598.14,8656598.14,0,0,4832057.27,4832057.27,0,0,0,0,3824540.87,0,0,3824540.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3824540.87,0,3824541,19,726662.79,726663
93,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,30 Wielkopolskie,Wielkopolskie,8655875.39,8655875.39,0,0,8453035.44,8453035.44,0,0,0,0,202839.95,0,0,202839.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202839.95,0,202840,19,38539.6,38540
94,OSP.55 Stowarzyszenia,OSP.55 of the Association,S Pozostała działalność usługowa,S Other service activities,Other Service Activities,10 Łódzkie,Łódzkie,8654673.58,8654673.58,0,0,8297094.86,8297094.86,0,0,0,0,357578.72,0,0,357578.72,0,311728.72,0,311728.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45850,0,45850,19,8711.5,8712
95,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,Q Opieka zdrowotna i pomoc społeczna,Q Health care and social assistance,Health,02 Dolnośląskie,Dolnośląskie,8653648.82,8653648.82,0,0,9002625.14,9002625.14,0,0,0,0,0,348976.32,0,0,348976.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
96,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,24 Śląskie,Śląskie,8653610.61,8653610.61,0,0,8591246.79,8591246.79,0,0,0,0,62363.82,0,0,62363.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62363.82,0,62364,19,11849.16,11849
97,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,S Pozostała działalność usługowa,S Other service activities,Other Service Activities,14 Mazowieckie,Mazowieckie,8653484.2,8653484.2,0,0,9434260.91,9434260.91,0,0,0,0,0,780776.71,0,0,780776.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
98,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8652361.01,8652361.01,0,0,8442006.23,8442006.23,0,0,0,0,210354.78,0,0,210354.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210354.78,0,210355,19,39967.45,39967
99,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,14 Mazowieckie,Mazowieckie,8652038.23,8652038.23,0,0,7238871.56,7238871.56,0,0,0,0,1413166.67,0,0,1413166.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413166.67,0,1413167,19,268501.73,268502
100,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,14 Mazowieckie,Mazowieckie,8651651.11,8651651.11,0,0,8250825.59,8250825.59,0,0,0,0,400825.52,0,0,400825.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400825.52,0,400826,19,76156.94,76157
101,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,02 Dolnośląskie,Dolnośląskie,8651466.06,8651466.06,0,0,7729729.69,7729729.69,0,0,0,0,921736.37,0,0,921736.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921736.37,0,921736,19,175129.84,175130
102,OSP.40 Spółdzielnie,OSP.40 Cooperatives,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,02 Dolnośląskie,Dolnośląskie,8651319.06,8651319.06,0,0,8797739.96,8797739.96,0,0,0,0,0,146420.9,0,0,146420.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
103,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,L Działalność związana z obsługą rynku nieruchomości,L Activity connected with servicing the real estate market,Real Estate,14 Mazowieckie,Mazowieckie,8651122.27,8651122.27,0,0,4050252.56,4050252.56,0,0,0,0,4600869.71,0,0,4600869.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411785.37,411785.37,0,0,4189084.34,0,4189084,19,795925.96,795926
104,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,30 Wielkopolskie,Wielkopolskie,8650282.12,8650282.12,0,0,8309500.36,8309500.36,0,0,0,0,340781.76,0,0,340781.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340781.76,0,340782,19,64748.58,64749
105,OSP.40 Spółdzielnie,OSP.40 Cooperatives,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,24 Śląskie,Śląskie,8650138.6,8650138.6,0,0,8110508.68,8110508.68,0,0,0,0,539629.92,0,0,539629.92,0,17532,0,0,0,17532,0,0,0,0,0,0,0,0,0,0,0,2500,0,2500,0,519597.92,0,519598,19,98723.62,98724
106,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,30 Wielkopolskie,Wielkopolskie,8649109.86,8649109.86,0,0,10432322.53,10432322.53,0,0,0,0,0,1783212.67,0,0,1783212.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
107,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,14 Mazowieckie,Mazowieckie,8649004.5,8649004.5,0,0,9234185.1,9234185.1,0,0,0,0,0,585180.6,0,0,585180.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
108,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,12 Małopolskie,Małopolskie,8648651.72,8648651.72,0,0,7373429.8,7373429.8,0,0,0,0,1275221.92,0,0,1275221.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275221.92,0,1275222,19,242292.18,242292
109,OSP.40 Spółdzielnie,OSP.40 Cooperatives,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,24 Śląskie,Śląskie,8648646.76,8648646.76,0,0,8687142.48,8687142.48,0,0,0,0,0,38495.72,0,0,38495.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
110,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,#NAME?,Not determined,Not determined,14 Mazowieckie,Mazowieckie,8648557.13,8648557.13,0,0,9706220.52,9706220.52,0,0,0,0,0,1057663.39,0,0,1057663.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
111,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"D Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych","D Production and supply of electricity, gas, steam, hot water and air for air conditioning systems",Utilities,28 Warmińsko-Mazurskie,Warmińsko-Mazurskie,8648516.98,8648516.98,0,0,7263064.5,0,7263064.5,0,0,0,1385452.48,0,0,1385452.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385452.48,0,1385452,19,263235.88,263236
112,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,J Informacja i komunikacja,J Information and communication,ICT,02 Dolnośląskie,Dolnośląskie,8648307.18,8648307.18,0,0,8007648.42,8007648.42,0,0,0,0,640658.76,0,0,640658.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,500,0,640158.76,0,640159,19,121630.21,121630
113,OSP.31 Wojewódzkie samorządowe jednostki organizacyjne,OSP.31 Voivodship self-government organizational units,"R Działalność związana z kulturą, rozrywką i rekreacją","R Activities related to culture, entertainment and recreation",Entertainment,04 Kujawsko-Pomorskie,Kujawsko-Pomorskie,8648287.71,8648287.71,0,0,8553061.07,8553061.07,0,0,0,0,95226.64,0,0,95226.64,0,95226.64,95226.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
114,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"M Działalność profesjonalna, naukowa i techniczna","M Professional, scientific and technical activities",Professional/Scientific,02 Dolnośląskie,Dolnośląskie,8647700.72,8647700.72,0,0,9682805.64,9682805.64,0,0,0,0,0,1035104.92,0,0,1035104.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
115,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,#NAME?,Not determined,Not determined,14 Mazowieckie,Mazowieckie,8647486.16,8647486.16,0,0,8591702.34,8591702.34,0,0,0,0,55783.82,0,0,55783.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55783.82,0,55784,19,10598.96,10599
116,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,30 Wielkopolskie,Wielkopolskie,8646667.28,8646667.28,0,0,7372229.35,7372229.35,0,0,0,0,1274437.93,0,0,1274437.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28091.17,19606.09,8485.08,0,1246346.76,0,1246347,19,236805.93,236806
117,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,24 Śląskie,Śląskie,8646319.49,8646319.49,0,0,7912926.25,7912926.25,0,0,0,0,733393.24,0,0,733393.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468999.26,468999.26,0,0,264393.98,50176.38,214218,19,40701.42,40701
118,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8646032.67,8646032.67,0,0,8509438.07,8509438.07,0,0,0,0,136594.6,0,0,136594.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136594.6,0,136595,19,25953.05,25953
